"Name";"Category";"user_score";"precision";"rn";"Synonyms";"main_link";"tags";"Price";"years_since_relevant";"DataSource";"Description";"Manual_In";"Manual_Out";"Automatic_In";"Automatic_Out";"Link_Out";"Link_In";"fastgreedy_order";"edgebetw_order";"cluster_fast_greedy";"cluster_edge_betweenness";"cluster_spinglass";"frequency";"KeysFirstRow";"KeyIncidence";"KeyRepetition";"KeyInPopular";"CentDegree";"CentClosens";"CentBetweens";"CentEigenvec";"tagSum";"fastgreedy_height";"edgebetw_height";"main_site"
"AgeCurve";"test";1;;1008;"";"agecurve.co.uk/";"";;;"rNC";"";"aging";"";"";"";"";"";;;;;;;;;;;;;;;;;;"agecurve.co.uk"
"Aidlab";"wear";3;;1009;"";"aidlab.com";"";;;"rNC";"";"ecg,respiration,motion,activity,sleep,skin temperature,gsr";"";"";"";"";"";;;;;;;;;;;;;;;;;;"aidlab.com"
"air_pressure";"whattomeasure";2.5;2;7;"air pressure,barometric pressure";"";"";;0;"DIM";"";"";"mbientlabs";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Aktiia Complete Blood Pressure Monitor";"wear";3;;1011;"Aktiia";"aktiia.com/";"";;;"rNC";"";"blood pressure,heartrate";"";"";"";"";"";;;;;;;;;;;;;;;;;;"aktiia.com"
"Alcohol Calorie Counter";"app";0;;1012;"Moonfish Team";"";"Health & Fitness,Android";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Alcohol Calorie Counter is an application to effectively measure how many calories are in any alcoholic drink you take. It will also show you some interesting information such as how long you should spend playing certain sports in order to burn those calories or some other interesting comparisons.";"alcohol";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Alcohol consumption";"whattomeasure";2.5;;8;"Coffee consumption";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"All-in Fitness by Sport.com";"app";1;;1013;"All-in Fitness";"sport.com/all_in_fitness.html,sport.com/all_in_fitness.html";"Health & Fitness,Motivation,Health,Physical activity,iOS";2.29;;"doi.org/10.1186/s12937-018-0366-6";": 1200 Exercises Workouts Calorie Counter BMI calculator by Sport.com The ONLY fitness app designed exclusively for men! Over 7 million men and women all over the world rely on All-in Fitness to be in perfect shape Limited time offer $2.99 (50% off the $5.99 retail price) ---- Now you can track your daily food intake using our local food database in your language. ---- *** The gym rats dream. From calorie counting to workout tracking this one does it all. - 148apps.com *** Think of every feature you could possibly want in a fitness app...Yeah they're all there. - theiphoneappreview.com *** Perfect for the gym rat as well as the weekend warrior. - app-score.com *** Includes everything you need to help you on your way to achieving your fitness goals. - iphoneapp-reviews.com Fitness encompasses the totality of bodily wellness! This app is an all-in-one fitness solution to complement the training of fitness enthusiasts at any level! APP FEATURES WORKING OUT: <U+0082>G HD-quality audio/visual encyclopedia containing 1200+ fitness and yoga exercises categorized by muscle group and equipment! <U+0082>G 100 ready-made workouts designed by our fitness experts for different goals! <U+0082>G Create and save your custom workouts! FIT N' SHARE SOCIAL NETWORK (!!!NEW!!!): <U+0082>G Join the rapidly growing social network for all things fitness <U+0082>G Upload and share your favorite fitness pics <U+0082>G Like and comment on the photos you like <U+0082>G Mingle with fitness enthusiasts near you and all over the world <U+0082>G Browse top rated photos and follow the users you like NUTRITION: <U+0082>G Local food database helps you find all your regional specialties. <U+0082>G Fitness is the ONLY app on the App Store that features a high-quality built-in calorie counter and nutrition guide with a database of over 300000 foods and recipes! <U+0082>G Vitamin calculator advises you about your daily vitamin requirements based on your goals! <U+0082>G BMI calculator - a quick and easy way to determine if you really need to gain or lose any weight. TRACKING: <U+0082>G Workout calendar so you stay on target! <U+0082>G Body Tracker lets you accurately monitor the changes in your body! SUPPORT: <U+0082>G Access FREE professional support directly from the app! SHARING: <U+0082>G Automatically share your progress with updates on Facebook! <U+0082>G Get motivated as friends and family encourage you in your progress! If you<U+0082><c4><f4>re serious about your fitness goals then join millions and go for the all-in-one solution: the Fitness app! NA";"database input,water,excercise,evaluations,comments,posts,body image,bmi,nutrition goals";"connected users,social support,advices,coaching,facebook";"";"";"";"";;;;;;;;;;;;;;;;;;"sport.com"
"ambient light";"whattomeasure";3;5;1014;"lumens";"";"";;0;"DIM";"";"";"mbientlabs";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"American Gut";"test";3;;1015;"UC San Diego";"americangut.org/";"";;;"rNC";"";"microbiome dna,16s sequencing";"";"";"";"";"";;;;;;;;;;;;;;;;;;"americangut.org"
"analysis";"file";2.5;;10;"analytics";"";"";;;"DIM";"";"openhumans.org";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"AncestryDNA Test";"test";3;;1016;"";"ancestrydna.com";"";;;"rNC";"";"dna sequence,ancestry";"";"";"";"";"";;;;;;;;;;;;;;;;;;"ancestrydna.com"
"andreilys personal_dashboard";"aggregator";3;7;1017;"personal_dashboard";"";"";;0;"DIM";"";"";"";"";"";"";"";21;14;1;5;1;1;1699;1;4;2;1;0.003;0;0.0066;0;18;18;"NA"
"AndroidAPS";"device";1;;1018;"";"github.com/MilosKozak/AndroidAPS";"Artificial pancreas,DIY,artificial pancreas,Android,Available";;;"https://doi.org/10.18710/QXMY88";"Modular open source artificial pancreas app";"";"file,api";"";"";"";"";;;;;;;;;;;;;;;;;;"github.com"
"Animas Ping";"device";2;;1019;"Animas 2020,Animas Vibe";"animas.com";"Insulin pump,RF Radio,FDA approved,CE marked,In production";;;"https://doi.org/10.18710/QXMY88,http://tidepool.org/products/tidepool-uploader/";"Insulin pump";"cgm";"tidepool";"";"";"";"";;;;;;;;;;;;;;;;;;"animas.com"
"ApneaApp";"app";1;;1020;"University of Washington";"apnea.cs.washington.edu/";"";;;"rNC";"";"sleep apnea";"";"";"";"";"";;;;;;;;;;;;;;;;;;"apnea.cs.washington.edu"
"Apple Watch";"device";3;;1021;"Apple,Apple Watch Series 4";"apple.com/no/watch/,apple.com/watch/,apple.com/apple-watch-series-4/";"Smartwatch,Bluetooth,Com_over_WiFi,NFC,iOS,Available,company,Watch OS,wear";;;"https://doi.org/10.18710/QXMY88,http://vandrico.com/wearables. http://support.walkingspree.com/hc/en-us/sections/206748667-Devices-Connected-via-Apple-Health-Google-Fit,doi.org/10.1186/s12937-018-0366-6,rNC";"Smartwatch";"heart rate,accelerometer,gyroscope,compass,global positioning system,gps unit,heart rate monitor,activity level,activity,steps,distance moved,physical fitness,calories burned,excercise,gps distance,ecg,heartrate,smartwatch";"applehealth,rest api,api,kiqplan,pryme vessyl (crowd funding dud)";"";"";"";"";;;;;;;;;;;;;;;;;;"apple.com"
"AppTracker";"app";2.5;;11;"";"";"App Usage Tracker";;;"DIM";"";"computer time tracking";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Argus Health & Calorie Counter";"app";3;;1022;"Argus,Azumio Inc.";"azumio.com,azumio.com/argus,azumio.com/argus";"Health & Fitness,Health,Physical activity,paidServices,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"As featured on 2016 Apple Watch Commercial 'Chase' with Nick Jonas USA Today CNN TechCrunch Gizmodo and many others Argus is the BEST all-in-one health & fitness app in the WORLD. Download Argus now and join the world<U+0082><c4><f4>s LARGEST social fitness community. MILLIONS are already benefitting every day by setting lifestyle goals conquering them and sharing their progress along the way! WHY ARGUS IS THE BEST HEALTH & FITNESS APP IN THE WORLD - 100% FREE <U+0082><c4><ec> we believe that leading a healthy lifestyle should be accessible to everyone! - 100% INTEGRATED <U+0082><c4><ec> Argus uses only your phone! - 100% EFFECTIVE - MILLIONS of users worldwide have seen DRASTIC improvements in their physique and emotional well-being! - HEALTHKIT SUPPORT FEATURES OF THE BEST HEALTH & FITNESS APP IN THE WORLD - ADVANCED SLEEP TRACKER <U+0082><c4><ec> track your sleeping habits and use our proprietary algorithm to wake you up at your lightest stage of sleep! - WORLD-CLASS HEART RATE MONITOR <U+0082><c4><ec> visualize your waveform with the tip of your finger and your phone<U+0082><c4><f4>s camera! - 24/7 STEP PEDOMETER <U+0082><c4><ec> tracks all your steps with our efficiently engineered ultra-low battery usage technology (10x more energy efficient than leading competitors!) - MULTI-ACTIVITY GPS TRACKER <U+0082><c4><ec> track running cycling climbing and more! - ULTIMATE CALORIE COUNTER<U+0082><c4><ec> Argus has an EXTRTEMELY ACCURATE calorie counter along with the most extensive food database in the world ideal for weight watchers paleo dieters Atkins dieters and more. - IN-DEPTH HEALTH CHARTS AND ANALYSIS <U+0082><c4><ec> track what you<U+0082><c4><f4>re doing right and what you could be doing better! - CUTTING-EDGE BARCODE SCANNER <U+0082><c4><ec> instantly log all your foods by taking a snap of a barcode! - PERSONALIZED WEIGHT-LOSS PLANS <U+0082><c4><ec> set your weight-loss goal sit back and relax as Argus calculates your calorie intake! - HD VIDEO WORKOUTS <U+0082><c4><ec> Do Yoga Pilates Stretching Squats Pushups Deadlifts Bench presses and more! - CHALLENGES <U+0082><c4><ec> invite friends and family with challenges to motivate each other in a fun way - LEARN MORE <U+0082><c4><ec> get exclusive access to our blogs and learn tips & tricks on how to improve your nutrition weight fitness and health! - MORE TO COME <U+0082><c4><ec> enjoy new features the second they<U+0082><c4><f4>re released! We constantly strive to make Argus the best free health & fitness app in the world. Azumio Team Download Argus now! Join MILLIONS and download the world<U+0082><c4><f4>s ONLY free all-in-one health & fitness app that uses JUST your phone (no costly devices needed) and conquer your goals! We have a super-easy calorie counter with barcode scanner and massive food database. Instantly measure your heart rate with JUST your phone track your activity and steps through GPS or 24/7 pedometer burn hundreds of calories with video-guided workouts share your achievements through a social community of millions and maximize your sleep with Sleep Time so that you feel refreshed everyday! There is no other app like this in the world!WHY WE<U+0082><c4><f4>RE THE BEST HEALTH & FITNESS APP OUT THERE<U+0082><fa><ec>100% FREE <U+0082><c4><ec> sign up with no strings attached and get going on your goals immediately<U+0082><fa><ec>Uses just your phone! No need for COSTLY fitness trackers heart rate monitors sleep trackers. We can still connect with dozens of devices if you have one.<U+0082><fa><ec>ARGUS WORKS. Millions of members use Argus worldwide to lose weight gain muscle improve mental wellness and get healthier. <U+0082><fa><ec>Featured in Apple commercials USA Today CNN TechCrunch Gizmodo and many others DO MORE WITH ARGUS<U+0082><fa><ec>BEST CALORIE COUNTER <U+0082><c4><ec> most accurate and massive food database that includes all foods from grocery stores and restaurant chains. Track your diet nutrition macronutrients (carbs protein fat) and recipes in a super-easy way. Great for Weight Watchers Paleo Atkins Mediterranean South Beach Slimfast and other diets. <U+0082><fa><ec>SUPER-FAST BARCODE SCANNER <U+0082><c4><ec> instantly log all your foods with the easiest fastest and most accurate scanner<U+0082><fa><ec>PERSONALIZED WEIGHT-LOSS PLANS <U+0082><c4><ec> set your weight-loss goal and we<U+0082><c4><f4>ll show you how many calories that you should eat and how many calories you need to burn<U+0082><fa><ec>BEST INSTANT HEART RATE MONITOR <U+0082><c4><ec> the #1 global heart rate app for 5 years in a row measure your heart rate anytime through your phone<U+0082><c4><f4>s camera. Significantly more accurate than other devices.<U+0082><fa><ec>BEST SLEEP ALARM TRACKER <U+0082><c4><ec> learn your sleep habits and use our tracker to wake you up at the optimal time so you feel refreshed every day<U+0082><fa><ec>24/7 STEP PEDOMETER (LOW-BATTERY USAGE) <U+0082><c4><ec> tracks all your steps with specially-engineered ultra-low battery usage technology (other apps drain up to 10x precious battery life!)<U+0082><fa><ec>MULTI-ACTIVITY GPS TRACKER <U+0082><c4><ec> track running cycling AND dozens of other activities <U+0082><fa><ec>INTENSE VIDEO WORKOUTS <U+0082><c4><ec> burn hundreds of calories through awesome fat-melting or muscle building workouts. Just set how many minutes and we create a custom workout for you! Do Yoga Pilates Stretching Squats Pushups to blast your abs butts chest legs and arms.<U+0082><fa><ec>GLOBAL SOCIAL NETWORK <U+0082><c4><ec> join millions worldwide in sharing your achievements make new friends and help others reach their goals<U+0082><fa><ec>CHALLENGES <U+0082><c4><ec> invite friends and family with challenges to motivate each other in a fun way<U+0082><fa><ec>IN-DEPTH HEALTH CHARTS AND ANALYSIS <U+0082><c4><ec> explore insights into your health like never before!<U+0082><fa><ec>LEARN <U+0082><c4><ec> read our daily blogs on tips to improve your nutrition weight fitness and health<U+0082><fa><ec>MORE TO COME <U+0082><c4><ec> we<U+0082><c4><f4>re constantly adding new features while many other apps keep doing one thing. Don<U+0082><c4><f4>t risk leaving your precious health data on apps that go stale. Download Argus NOW and begin your journey to a happier and healthier life. It<U+0082><c4><f4>s the only health and fitness app you<U+0082><c4><f4>ll ever need. Azumio Team https://www.facebook.com/azumioinchttps://twitter.com/azumioinchttp://www.azumio.com/argus";"barcode scanning,water,database input,generic input,labeled or packaged food products,sleep,steps,heartrate,activity";"allowance badge,challanges,connected users,advices,healthkit,human api";"";"";"";"";;;;;;;;;;;;;;;;;;"azumio.com"
"astroskin";"sensor";2.5;8;12;"";"hexoskin.com/pages/astroskin-vital-signs-monitoring-platform-for-advanced-research";"";2000;0;"DIM";"";"";"csv file";"sleep,astroskin";"";"";"https://www.hexoskin.com/pages/astroskin-vital-signs-monitoring-platform-for-advanced-research";;;;;;;;;;;;;;;;;;"hexoskin.com"
"Atmotube Plus";"device";3;;1024;"Notanotherone Inc";"atmotube.com/";"";;;"rNC";"";"air quality,voc,barometric pressure";"";"";"";"";"";;;;;;;;;;;;;;;;;;"atmotube.com"
"Ava Fertility2.0";"wear";3;;1025;"";"avawomen.com/order/";"";;;"rNC";"";"fertility,ovulation,women's health,skin temperature,heartrate,sleep cycles";"";"";"";"";"";;;;;;;;;;;;;;;;;;"avawomen.com"
"Azumio";"aggregator";2.5;;13;"";"";"company";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"BACtrack C6 Keychain";"device";3;;1026;"BACtrack";"bactrack.com/";"";;;"rNC";"";"blood alcohol level,breathalyzer";"";"";"";"";"";;;;;;;;;;;;;;;;;;"bactrack.com"
"Barcode scanning";"sensor";2.5;;14;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Bariatric IQ";"app";1;;1027;"NordClinic";"bariatriciq.com,bariatriciq.com";"Medical,Health,Uncategorized,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Bariatric IQ is a specially designed app for patients preparing for or after weight loss surgeries such as gastric bypass gastric sleeve gastric band and gastric plication. Bariatric IQ lets you:- Track your weight- Create beautiful before after pictures- Read our specially selected bariatric recipes- Know if you are getting enough of each essential nutrient- Find places to eat nearby which are suitable for bariatric patients- Track your diet and get useful feedback on it- Add the same products to your menu list and shopping list- Know which particular product belongs to which bariatric nutrition pyramid level- Get in touch with a respectable bariatric dietitian bariatric or plastic surgeon- Get useful motivational and educational messages- Join communities and participate in forums with other people before or after obesity surgery- Read dozens of useful articles related to obesity surgery You<U+0082><c4><f4>ll be able to do this and much more our app is constantly updated with new features Bariatric IQ team consists of professionals working in this field for more than a decade and is determined to make this app the most comprehensive and useful tool for all pre and post bariatric patients around the world.";"body image,body weight,posts";"personal feedback,advices,encouragements,social support";"";"";"";"";;;;;;;;;;;;;;;;;;"bariatriciq.com"
"Baritastic Bariatric Tracker";"app";1;;1028;"Baritastic,BariApps";"bariapps.com,bariapps.com";"Medical,Motivation,Health,Uncategorized,Android,iOS,Bariatric";0;;"doi.org/10.1186/s12937-018-0366-6";"NA Baritastic is the # 1 app for bariatric surgery! Baritatric surgery patients have specific goals requirements and guidelines before and after surgery. And now there is a free app specifically built for bariatric surgery. * Nutrition and Water Tracking* Reminders - Vitamins Water Protein Shakes Meals Other* Bariatric Food Water and Bite Timer* Patient Journal - Log thoughts take pics rate your hunger an happiness.* Newbie Checklist - Stay on task and get to surgery.* Bariatric Specific Recipes* Bariatric Specific Resources* Baritastic Social Support Group* Connect to YOUR Bariatric Program Through the Baritastic App* and more! Whether you are considering weight loss surgery or are already losing weight this app is for you. Lap Band gastric bypass gastric sleeve gastric balloon duodenal switch - it's all here. Notes: We are always improving the app and appreciate your feedback. You can now connect to your bariatric program via the app. Once connected you'll have access to your discharge instructions support group calendar diet guidelines key contacts and much more. If your bariatric program hasn't given you a code ask them for one or tell them about Baritastic and we'll get them set-up.";"body composition,body image,hunger,emotions,notes";"reminders/notifications,social support,healthkit";"";"";"";"";;;;;;;;;;;;;;;;;;"bariapps.com"
"Barometer";"sensor";2.5;;15;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"BeautyRest Sleep Tracker";"device";3;;1029;"BeautyRest";"beautyrest.com/Sleeptracker";"";;;"rNC";"";"sleep cycles,heartrate,respiration";"";"";"";"";"";;;;;;;;;;;;;;;;;;"beautyrest.com"
"Beddit Sleep Monitor 3.5";"device";3;;1030;"Beddit,beddit";"beddit.com/";"";;;"rNC,DIM";"";"sleep cycles,heartrate,snoring,breathing,room temperature,humidity,sleep,sleep time,room humidity,sleep analysis,respiratory data";"";"";"";"";"";;;;;;;;;;;;;;;;;;"beddit.com"
"Beeminder";"app";2.5;;17;"";"";"habit,goal";;;"DIM";"";"manual tracking,api,incentivization";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"betterise.me";"aggregator";2.5;;18;"Betterise";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"betterself.io";;5;9;1031;"";"";"";;0;"DIM";"";"";"";"";"";"";"";30;37;3;1;8;2;2063;7;3.5714;1.2857;1;0.0023;0;0.0069;0;33;33;"NA"
"biochemistry";"concept";1;6;1032;"";"";"scientist";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"biofourmis";;5;9;1033;"";"";"";;0;"DIM";"";"";"";"";"";"";"";24;6;5;6;5;31;13;396;14.0303;1.1692;1;0.0027;0;0.0484;0;39;39;"NA"
"biohacking";"concept";5;7;1034;"self-tracking,self-experiment,n-of-1 methods,single subject research,citizen science,participatory science,peer-to-peer health,self-experimentation,quanified self,self-tracking,health-tracking,lifelogging,self tracking,personal health applifelog";"";"activity";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Biohm Gut Report";"test";3;;1035;"Biohm";"biohmhealth.com/pages/gut-report";"";;;"rNC";"";"microbiome dna,16s sequencing";"";"";"";"";"";;;;;;;;;;;;;;;;;;"biohmhealth.com"
